objname,e_mod0,mod0,v_gsr,mod_mpc
UGC11074,0.4,32.05,2028,25.70395783
ESO139-049,0.4,32.28,2657,28.57590543
PGC061289,0.031,34.031,4824.6,64.00295121
PGC061353,0.54,32.19,1931.8,27.41574172
NGC6548,0.21,31.787,2357.4,22.77193838
ESO140-006,0.4,31.84,2281.1,23.33458062
NGC6585,0.349,32.479,3031.8,31.31843125
UGC11182,0.54,34,4495.3,63.09573445
IC4694,0.4,32.46,2689.3,31.04559588
PGC061658,0.54,30.55,3145.8,12.88249552
UGC11188,0.54,33.7,5454.5,54.95408739
UGC11194,0.347,34.019,4916.5,63.65023332
ESO182-010,0.54,31.68,3478.4,21.67704105
NGC6627,0.04,34.327,5433.8,73.34998004
UGC11255,0.347,35.375,9937.4,118.8502227
UGC11254,0.352,33.793,5182.4,57.35879248
UGC11295,0.54,33.08,2565.7,41.3047502
UGC11275,0.353,35.231,5655.2,111.2243817
UGC11301,0.54,34.3,4674.6,72.44359601
UGC11334,0.54,35.01,4773.3,100.461579
UGC11317,0.04,34.96,6776.8,98.1747943
UGC11344,0.37,33.831,4025.2,58.37138526
UGC11350,0.54,34.13,4887,66.98846094
IC4758,0.018,33.898,4386.7,60.20048637
UGC11371,0.346,33.434,3944.9,48.61832585
ESO396-007,0.16,34.341,5862.3,73.82441258
UGC11380,0.54,32.19,3090.3,27.41574172
UGC11385,0.54,33.15,3300,42.65795188
IC4810,0.346,32.706,3116.3,34.76962446
UGC11394,0.54,34.06,4432.3,64.86344335
IC4819,0.4,31.55,1763.6,20.41737945
UGC11404,0.186,32.881,4114.1,37.68773174
IC4821,0.4,31.99,2637.9,25.00345362
ESO282-018,0.346,33.972,5584.5,62.28737089
IC4837A,0.4,33.56,2790.4,51.52286446
NGC6796,0.346,32.86,2409.6,37.32501578
UGC11433,0.54,33.58,4653.9,51.99959965
ESO525-004,0.059,34.61,6146.8,83.56030182
UGC11459,0.147,33.384,3346.6,47.51163764
PGC063540,0.354,34.471,6094.3,78.37905085
PGC063556,0.4,29.65,1627.6,8.511380382
ESO460-031,0.359,34.592,5852.1,82.87050779
ESO398-029,0.54,34.44,5686.5,77.26805851
ESO594-017,0.4,31.32,1826.4,18.36538343
ESO461-006,0.54,34.44,5986,77.26805851
PGC063832,0.053,34.068,4987.4,65.10284984
ESO339-008,0.347,34.175,5683.6,68.39116473
PGC063925,0.026,36.326,12078.3,184.1619904
IC4919,0.027,33.782,4209.8,57.06896549
UGC11515,0.54,30.35,3475.2,11.74897555
PGC064373,0.54,34.89,5698.3,95.06047937
NGC6887,0.4,32.39,2660,30.06076303
ESO340-009,0.265,32.288,2593.7,28.68137713
UGC11537,0.37,34.331,5560.1,73.48522022
NGC6911,0.287,32.45,2704.3,30.90295433
ESO340-017,0.54,32.98,2626.6,39.44573021
PGC064534,0.54,34.4,5778,75.8577575
UGC11545,0.54,31.2,3179.1,17.37800829
NGC6901,0.54,34.32,4958.7,73.11390835
NGC6906,0.414,34.079,5026.6,65.43347724
NGC6902,0.29,32.33,2785.6,29.24152378
